,name,link,min_salary,max_salary,currency,employer,site_name
60,Python developer (Ds направление),https://hh.ru/vacancy/45811421?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Домклик,hh.ru
61,Data engineer (удаленно),https://hh.ru/vacancy/48095633?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Билайн,hh.ru
62,Middle Data Scientist / ML Engineer,https://hh.ru/vacancy/51435440?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,"Альфа-Банк, Україна",hh.ru
63,Data Engineer,https://hh.ru/vacancy/51720188?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,ООО Сонэйм Солюшнс,hh.ru
64,Data Engineer,https://hh.ru/vacancy/51850885?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,СберЗвук,hh.ru
65,Data Engineer,https://hh.ru/vacancy/51845009?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,QIWI,hh.ru
66,Front-end Software Engineer  (в проект Big data & data visualization),https://hh.ru/vacancy/51805960?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,ООО СВАПС системз,hh.ru
67,Бизнес-аналитик SQL,https://hh.ru/vacancy/50066943?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Билайн,hh.ru
68,Data-analyst,https://hh.ru/vacancy/50703397?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Билайн,hh.ru
69,"Системный аналитик (ETL, Big-Data, ML)",https://hh.ru/vacancy/49885214?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Coleman Services,hh.ru
70,Python developer (Middle / Senior),https://hh.ru/vacancy/50674864?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,200000,350000,руб.,Big Data Solutions,hh.ru
71,Data Engineer (Scala),https://hh.ru/vacancy/51482967?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Самокат (ООО Умное пространство),hh.ru
72,Cloud Data Engineer (Senior Consultant),https://hh.ru/vacancy/51856097?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,3000,4500,EUR,Deloitte,hh.ru
73,Data Engineer,https://hh.ru/vacancy/50676770?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Vodafone Украина,hh.ru
74,Senior Data Scientist,https://hh.ru/vacancy/48136307?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Билайн,hh.ru
75,Head Of Data,https://hh.ru/vacancy/49924974?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Приложение «Кошелёк»,hh.ru
76,Data Engineer,https://hh.ru/vacancy/48995237?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Сбер. IT,hh.ru
77,Data Scientist Middle/Middle+,https://hh.ru/vacancy/50766728?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,"Макдоналдс, Россия",hh.ru
78,Senior Data Scientist,https://hh.ru/vacancy/51040763?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,ООО Воннаплэй / WannaPlay,hh.ru
79,Data engineer/ Инженер по данным,https://hh.ru/vacancy/50138376?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Билайн,hh.ru
80,Аналитик,https://hh.ru/vacancy/51653203?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,100000,100000,руб.,Крупная IT компания с большой федеральной сетью,hh.ru
81,Experienced Angular Frontend Developer,https://hh.ru/vacancy/51378180?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,3500,4000,USD,Smart Apartment Data,hh.ru
82,C# Developer,https://hh.ru/vacancy/51672064?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,3300,3500,USD,Smart Apartment Data,hh.ru
